eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
146,146,1414,1,1,0,0,0.0,0.0,16.18,41.882,41.882,41.882,41.882,10.0,10.0,5.8,5.8,5.8
147,147,1420,1,1,0,0,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.4,4.4,4.4
148,148,1423,11,10,0,0,0.0,0.0,13.399,42.351,42.351,42.351,42.351,10.0,10.0,4.16,4.16,4.16
149,149,1424,10,20,0,0,0.0,0.0,11.947,44.172,44.172,44.172,44.172,10.0,10.0,4.16,4.16,4.16
150,150,1425,8,10,0,0,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,4.63,4.63,4.63
151,151,1426,1,1,0,0,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.4,4.4,4.4
152,152,1428,7,3,5,0,0.0,0.0,12.046,44.146,44.146,44.146,44.146,10.0,10.0,5.47,5.47,5.47
153,153,1429,6,26,0,0,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.16,4.16,4.16
154,154,1429,11,10,16,20,0.0,0.0,15.555,38.185,38.185,38.185,38.185,10.0,10.0,4.86,4.86,4.86
155,155,1430,8,13,0,40,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.16,4.16,4.16
156,156,1433,5,4,8,5,0.0,0.0,11.343,44.494,44.494,44.494,44.494,10.0,10.0,4.63,4.63,4.63
157,157,1436,3,1,0,0,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.86,4.86,4.86
158,158,1438,2,2,12,15,0.0,0.0,12.677,41.787,41.787,41.787,41.787,10.0,10.0,5.33,5.33,5.33
159,159,1438,6,11,2,0,0.0,0.0,10.239,44.844,44.844,44.844,44.844,10.0,10.0,5.56,5.56,5.56
160,160,1444,1,1,0,0,0.0,0.0,,,,,,10.0,10.0,,,
161,161,1445,3,21,13,30,0.0,0.0,10.994,45.439,45.439,45.439,45.439,10.0,10.0,4.4,4.4,4.4
162,162,1448,1,1,0,0,0.0,0.0,15.555,38.185,38.185,38.185,38.185,10.0,10.0,4.16,4.16,4.16
163,163,1449,10,15,20,45,0.0,0.0,11.56,43.234,43.234,43.234,43.234,10.0,10.0,4.63,4.63,4.63
164,164,1449,1,1,0,0,0.0,0.0,7.327,44.885,44.885,44.885,44.885,10.0,10.0,4.16,4.16,4.16
165,165,1450,1,1,0,0,0.0,0.0,14.884,38.113,38.113,38.113,38.113,10.0,10.0,4.4,4.4,4.4
166,166,1453,9,28,22,45,0.0,0.0,11.287,43.783,43.783,43.783,43.783,10.0,10.0,5.38,5.38,5.38
167,167,1455,2,6,0,0,0.0,0.0,,,,,,10.0,10.0,,,
168,168,1455,12,20,20,45,0.0,0.0,11.343,44.494,44.494,44.494,44.494,10.0,10.0,4.4,4.4,4.4
169,169,1456,12,5,0,0,0.0,0.0,14.711,41.302,41.302,41.302,41.302,10.0,10.0,7.19,7.19,7.19
170,170,1456,12,9,0,0,0.0,0.0,12.141,43.57,43.57,43.57,43.57,10.0,10.0,4.4,4.4,4.4
171,171,1456,12,30,8,20,0.0,0.0,,,,,,10.0,10.0,,,
172,172,1457,1,8,0,0,0.0,0.0,14.25,40.849,40.849,40.849,40.849,10.0,10.0,3.37,3.37,3.37
173,173,1457,2,10,0,0,0.0,0.0,14.214,41.106,41.106,41.106,41.106,10.0,10.0,4.4,4.4,4.4
174,174,1458,4,26,12,15,0.0,0.0,12.236,43.463,43.463,43.463,43.463,10.0,10.0,5.8,5.8,5.8
175,175,1458,5,1,0,35,0.0,0.0,12.239,43.457,43.457,43.457,43.457,10.0,10.0,4.63,4.63,4.63
176,176,1458,5,1,0,0,0.0,0.0,13.229,43.194,43.194,43.194,43.194,10.0,10.0,4.4,4.4,4.4
177,177,1461,11,27,23,5,0.0,0.0,,,,,,10.0,10.0,,,
178,178,1461,11,27,0,0,0.0,0.0,13.543,42.308,42.308,42.308,42.308,10.0,10.0,6.5,6.5,6.5
179,179,1462,1,3,20,25,0.0,0.0,13.399,42.351,42.351,42.351,42.351,10.0,10.0,4.16,4.16,4.16
180,180,1462,1,4,22,25,0.0,0.0,13.399,42.351,42.351,42.351,42.351,10.0,10.0,4.16,4.16,4.16
181,181,1462,3,27,2,0,0.0,0.0,13.399,42.351,42.351,42.351,42.351,10.0,10.0,4.16,4.16,4.16
182,182,1464,3,24,0,0,0.0,0.0,10.457,43.996,43.996,43.996,43.996,10.0,10.0,4.16,4.16,4.16
183,183,1465,4,7,15,30,0.0,0.0,10.631,44.698,44.698,44.698,44.698,10.0,10.0,4.4,4.4,4.4
184,184,1465,5,17,0,0,0.0,0.0,12.577,43.351,43.351,43.351,43.351,10.0,10.0,4.63,4.63,4.63
185,185,1466,1,15,2,25,0.0,0.0,15.334,40.765,40.765,40.765,40.765,10.0,10.0,5.98,5.98,5.98
186,186,1466,12,20,11,0,0.0,0.0,13.399,42.351,42.351,42.351,42.351,10.0,10.0,4.16,4.16,4.16
187,187,1466,12,26,0,0,0.0,0.0,12.577,43.351,43.351,43.351,43.351,10.0,10.0,4.63,4.63,4.63
188,188,1467,8,22,20,20,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.4,4.4,4.4
189,189,1467,9,3,0,0,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.86,4.86,4.86
190,190,1468,6,6,10,30,0.0,0.0,12.568,44.059,44.059,44.059,44.059,10.0,10.0,3.7,3.7,3.7
191,191,1469,4,7,6,25,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.16,4.16,4.16
192,192,1470,1,1,0,0,0.0,0.0,14.123,40.822,40.822,40.822,40.822,10.0,10.0,3.63,3.63,3.63
